divorces;density;fem;violence;alcoholism;drugs;funemployed;munemplyed;salary;c_criminal;c_economic;c_life
168;0;106;8;189;24;519;764;4214,66;2265;207;51
181;1;110;45;246;16;840;914;4024,94;1172;162;45
162;1;105;264;255;48;908;1694;4077,69;1608;437;56
62;0;102;11;39;6;664;1007;3815,89;567;116;12
78;0;104;11;149;10;869;1087;4029,64;748;105;14
113;1;107;13;98;21;885;849;4035,56;1168;77;20
74;1;105;5;130;2;422;403;4013,33;505;91;21
311;0;107;70;445;23;2705;3012;4054,23;2121;458;78
97;0;104;15;127;17;835;1086;4185,47;840;575;7
88;1;105;1;178;13;568;666;3939,03;1004;112;13
206;1;107;34;178;20;598;1167;7915,01;2092;316;74
66;0;105;7;101;9;793;852;3950,65;771;84;20
68;0;102;16;41;2;348;546;3734,38;342;63;27
210;1;105;21;186;21;794;1205;4128,29;1113;253;35
180;1;105;5;39;5;1011;1019;4415,62;1052;153;30
107;0;102;16;102;12;630;1059;4941,87;1025;218;32
72;0;102;2;36;2;685;853;4398,08;487;82;21
104;0;102;3;36;4;558;613;4805,68;778;71;22
307;1;107;37;292;32;1596;2031;4427,25;2682;1141;72
172;0;103;47;131;7;653;1081;3955,41;895;139;43
100;1;107;25;127;2;780;937;3825,44;834;361;41
95;0;104;17;179;11;822;1080;5086,07;497;98;15
245;1;104;73;150;15;569;765;4880;1886;267;44
103;0;105;19;122;3;1112;1304;3856,48;699;289;20
177;1;106;7;239;85;655;782;4225,18;1851;221;26
62;0;104;61;216;22;887;1136;4362,98;740;253;14
157;1;115;25;121;38;605;604;4546,12;2258;1300;47
171;1;111;21;115;25;1011;1268;4259,37;2811;1396;63
1427;1;114;71;292;83;3556;3691;5338,47;15900;2562;306
237;1;113;43;455;33;1031;1458;4768,01;2904;695;63
50;1;106;11;151;4;1200;1364;3641,04;705;170;31
132;0;102;44;105;5;801;1461;3762,94;482;260;17
201;0;102;39;347;7;936;1434;4208,79;1041;206;14
112;0;104;9;70;1;861;1332;3795,52;508;91;11
69;0;102;31;95;4;674;1218;4313,35;372;148;6
58;0;100;24;95;1;705;1204;3950,03;170;28;4
242;1;106;54;322;26;2988;4593;3839,4;1408;8042;42
61;0;101;10;97;11;1562;2361;3491,32;925;80;29
60;0;104;7;81;5;624;1216;3855,21;395;141;10
123;0;102;35;197;10;1141;2149;3706,48;1119;396;24
28;0;102;16;129;0;1075;1549;3596,25;178;88;3
36;0;102;26;161;6;618;1278;3741,05;341;72;15
44;0;100;41;143;3;703;1160;3730,47;549;77;14
155;0;103;27;238;25;921;1671;4170,33;950;258;51
166;0;103;41;203;11;1457;2388;3726,88;1004;445;12
58;0;100;11;140;4;791;1212;3600,87;394;107;16
63;0;103;26;98;4;595;980;3934,94;230;35;4
72;0;102;31;392;2;2190;2989;3771,18;686;80;42
102;0;102;114;208;13;851;1777;3654,34;742;117;23
646;1;113;161;297;26;2508;3474;4481,39;4691;1802;102
206;1;110;324;596;66;1293;1940;3743,06;1350;286;40
409;1;115;11;201;35;1891;2572;4629,36;3541;1143;88
168;1;113;2;327;19;2055;2893;4166;2138;305;54
125;0;101;23;271;2;2224;2218;3668,41;964;601;55
87;0;103;27;187;8;1141;1239;3907,04;647;141;24
116;0;103;24;181;4;1763;2308;3648,16;784;144;27
75;0;104;4;187;3;1849;1715;3821,25;1128;401;47
28;0;102;5;60;2;1050;969;4007,96;287;182;12
68;0;105;56;205;1;1639;1660;3862,53;543;446;33
129;0;106;19;207;4;2273;2139;3691,03;869;1003;51
120;0;105;99;241;4;1859;2117;3635,35;743;197;35
214;0;104;30;216;5;1641;1962;3673,03;957;232;35
98;0;104;29;195;8;568;878;5772,29;580;284;28
120;0;101;19;188;1;901;1136;3578,47;685;230;35
94;0;105;12;170;2;1278;1190;3692,97;412;77;29
53;0;102;11;114;2;386;646;3764,14;326;57;13
176;1;109;279;338;38;1423;1648;4615,24;1207;343;57
62;0;100;10;126;1;894;877;3787,89;465;123;14
87;0;101;18;121;4;825;962;3754,48;548;270;19
153;1;108;7;135;3;1166;1248;4624,28;633;812;33
87;0;103;34;87;2;1145;1312;3681,44;742;207;29
67;0;103;10;159;0;957;1272;3658,82;377;48;19
